"","PG.ProteinGroups","PG.Genes","[1] HN1.raw.PG.MS2Channel1","[2] HN2.raw.PG.MS2Channel1","[3] HN3.raw.PG.MS2Channel1","[4] HN4.raw.PG.MS2Channel1","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"2493","Q96SZ5","ADO",18123.66797,20798.98828,17838.34375,22126.84375,90.67074585,NA,NA,NA,12.6319806780563,7.94558771564167,8.29726492262077,7.22541919647255e-05,0.000185461120891407,2.281151614453,"UP"
"2494","O60493","SNX3",24060.6582,26406.35352,28425.20313,29376.44141,NA,105.5053635,NA,NA,13.0364183003426,8.20190471884279,8.2913501399059,7.25858870534279e-05,0.000186237807239328,2.27660969982973,"UP"
"2495","Q8N5K1","CISD2",24816.85547,24910.30664,24459.19336,34635.53125,104.6051025,NA,NA,NA,13.0348058003743,8.19803683332577,8.28976940674762,7.26748241994463e-05,0.000186369948601429,2.27539529793551,"UP"
"2496","Q9UJX6","ANAPC2",946.9158325,1201.264282,703.4518433,1334.659302,NA,NA,21.67082787,NA,8.86527048726684,5.55832653607924,8.28939977482066,7.2695638648096e-05,0.000186369948601429,2.27511129269122,"UP"
"2497","Q8N158","GPC2",10122.74805,12268.50781,15110.21582,11833.2627,17.19607735,213.6348877,167.1832275,208.8547058,6.81595664651164,10.1675866694917,8.2823132581021,7.30959953273965e-05,0.000187321295194237,2.26966385345218,"UP"
"2498","Q9H4M9","EHD1",35555.93359,32515.65039,30425.99219,24990.35547,NA,81.99617004,NA,16.40045357,12.2782285231085,8.76312072793,8.27964702938129,7.32472701380319e-05,0.000187633819701067,2.26761305910937,"UP"
"2499","Q8IYB1","MB21D2",16138.72656,14124.85938,16584.23633,18626.20117,26.45388031,15.34703064,NA,68.90610504,10.2574683424842,8.86304452451764,8.27853248356582,7.33106113901416e-05,0.000187720929285921,2.26675557628208,"UP"
"2500","Q92485","SMPDL3B",80863.32813,262586.4688,161397.125,175836.9219,NA,NA,27.02260017,153.6945801,14.237001898202,10.1389503898778,8.27509950282059,7.35061020244337e-05,0.000188146218741741,2.26411363881773,"UP"
"2501","P15170","GSPT1",3673.966797,3992.796387,3655.926758,4118.844727,19.86014557,NA,NA,19.10075188,9.73499898776593,7.04546321452752,8.27401427106685,7.35680229208177e-05,0.000188229419700245,2.26327823486844,"UP"
"2502","Q13572","ITPK1",4749.544434,4592.347168,5008.865723,4573.768066,268.8137207,93.35227203,106.6015244,500.1325684,4.61870947792603,9.89795685285179,8.27345112128324,7.36001782209892e-05,0.000188236427032818,2.26284468128361,"UP"
"2503","P05388","RPLP0",4848.333984,4825.494141,5478.116699,5338.341797,933.671814,793.8771973,464.9510803,291.9286804,3.18029000847929,10.7304811513733,8.26968847353493,7.38154298017385e-05,0.000188711520296174,2.2599471370347,"UP"
